2017-06-07T13:32:42.752+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58286 #31 (3 connections now open)
2017-06-07T13:32:42.757+0800 I -        [conn31] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:32:42.757+0800 I -        [conn31] end connection 127.0.0.1:58286 (3 connections now open)
2017-06-07T13:33:38.895+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58289 #32 (3 connections now open)
2017-06-07T13:33:38.901+0800 I -        [conn32] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:33:38.901+0800 I -        [conn32] end connection 127.0.0.1:58289 (3 connections now open)
2017-06-07T13:34:44.944+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58340 #33 (3 connections now open)
2017-06-07T13:34:44.946+0800 I -        [conn33] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:34:44.946+0800 I -        [conn33] end connection 127.0.0.1:58340 (3 connections now open)
2017-06-07T13:35:38.334+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58348 #34 (3 connections now open)
2017-06-07T13:35:38.344+0800 I -        [conn34] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:35:38.344+0800 I -        [conn34] end connection 127.0.0.1:58348 (3 connections now open)
2017-06-07T13:36:40.883+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58359 #35 (3 connections now open)
2017-06-07T13:36:40.886+0800 I -        [conn35] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:36:40.886+0800 I -        [conn35] end connection 127.0.0.1:58359 (3 connections now open)
2017-06-07T13:37:40.779+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58372 #36 (3 connections now open)
2017-06-07T13:37:40.781+0800 I -        [conn36] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:37:40.781+0800 I -        [conn36] end connection 127.0.0.1:58372 (3 connections now open)
2017-06-07T13:38:46.995+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58378 #37 (3 connections now open)
2017-06-07T13:38:46.997+0800 I -        [conn37] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:38:46.997+0800 I -        [conn37] end connection 127.0.0.1:58378 (3 connections now open)
2017-06-07T13:39:42.555+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58389 #38 (3 connections now open)
2017-06-07T13:39:42.559+0800 I -        [conn38] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:39:42.559+0800 I -        [conn38] end connection 127.0.0.1:58389 (3 connections now open)
2017-06-07T13:40:39.168+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58398 #39 (3 connections now open)
2017-06-07T13:40:39.171+0800 I -        [conn39] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:40:39.171+0800 I -        [conn39] end connection 127.0.0.1:58398 (3 connections now open)
2017-06-07T13:41:40.850+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58406 #40 (3 connections now open)
2017-06-07T13:41:40.851+0800 I -        [conn40] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
